Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,121.15
Elapsed Live Time:,120.0
Start Time:,September 26, 2019, 04:31:51
End Time:,September 26, 2019, 04:33:52
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,1
5,,0
6,,0
7,,0
8,,1
9,,1
10,,0
11,,0
12,,1
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,1
21,,1
22,,0
23,,1
24,,0
25,,2
26,,2
27,,6
28,,20
29,,24
30,,18
31,,30
32,,25
33,,26
34,,35
35,,35
36,,30
37,,37
38,,32
39,,28
40,,51
41,,36
42,,56
43,,43
44,,53
45,,50
46,,56
47,,62
48,,66
49,,72
50,,57
51,,66
52,,73
53,,74
54,,56
55,,45
56,,54
57,,54
58,,60
59,,45
60,,67
61,,68
62,,41
63,,63
64,,57
65,,50
66,,68
67,,64
68,,59
69,,50
70,,54
71,,66
72,,60
73,,52
74,,54
75,,59
76,,57
77,,47
78,,58
79,,56
80,,42
81,,59
82,,45
83,,64
84,,56
85,,39
86,,54
87,,56
88,,40
89,,48
90,,52
91,,39
92,,52
93,,48
94,,48
95,,56
96,,45
97,,61
98,,47
99,,59
100,,60
101,,61
102,,55
103,,59
104,,55
105,,52
106,,52
107,,49
108,,69
109,,63
110,,58
111,,65
112,,66
113,,56
114,,62
115,,74
116,,62
117,,58
118,,66
119,,58
120,,54
121,,67
122,,63
123,,80
124,,74
125,,62
126,,58
127,,66
128,,85
129,,68
130,,67
131,,86
132,,87
133,,57
134,,83
135,,80
136,,82
137,,93
138,,78
139,,100
140,,79
141,,84
142,,69
143,,73
144,,74
145,,91
146,,83
147,,71
148,,94
149,,110
150,,76
151,,85
152,,76
153,,78
154,,101
155,,95
156,,117
157,,101
158,,72
159,,109
160,,90
161,,98
162,,101
163,,99
164,,107
165,,97
166,,84
167,,76
168,,102
169,,89
170,,97
171,,123
172,,84
173,,96
174,,88
175,,102
176,,90
177,,89
178,,91
179,,97
180,,96
181,,99
182,,112
183,,119
184,,118
185,,114
186,,93
187,,110
188,,99
189,,105
190,,87
191,,113
192,,103
193,,114
194,,99
195,,116
196,,124
197,,106
198,,101
199,,101
200,,100
201,,103
202,,101
203,,100
204,,105
205,,108
206,,95
207,,100
208,,116
209,,104
210,,98
211,,92
212,,107
213,,102
214,,104
215,,129
216,,116
217,,96
218,,85
219,,120
220,,115
221,,112
222,,124
223,,107
224,,111
225,,136
226,,90
227,,112
228,,102
229,,88
230,,114
231,,117
232,,93
233,,105
234,,88
235,,94
236,,117
237,,108
238,,128
239,,100
240,,115
241,,121
242,,112
243,,103
244,,95
245,,103
246,,108
247,,105
248,,114
249,,98
250,,137
251,,102
252,,122
253,,103
254,,124
255,,95
256,,109
257,,94
258,,108
259,,114
260,,125
261,,133
262,,122
263,,109
264,,107
265,,103
266,,123
267,,94
268,,113
269,,119
270,,98
271,,109
272,,101
273,,92
274,,117
275,,83
276,,94
277,,101
278,,116
279,,119
280,,108
281,,113
282,,126
283,,97
284,,99
285,,111
286,,104
287,,104
288,,110
289,,107
290,,87
291,,85
292,,102
293,,112
294,,100
295,,113
296,,94
297,,98
298,,96
299,,119
300,,81
301,,105
302,,113
303,,100
304,,100
305,,100
306,,98
307,,111
308,,108
309,,90
310,,99
311,,103
312,,111
313,,103
314,,103
315,,103
316,,79
317,,96
318,,100
319,,99
320,,98
321,,117
322,,94
323,,91
324,,98
325,,96
326,,107
327,,120
328,,104
329,,96
330,,102
331,,121
332,,102
333,,94
334,,88
335,,109
336,,89
337,,117
338,,105
339,,107
340,,105
341,,108
342,,102
343,,114
344,,108
345,,111
346,,117
347,,98
348,,89
349,,92
350,,98
351,,111
352,,93
353,,96
354,,113
355,,120
356,,93
357,,110
358,,98
359,,93
360,,113
361,,120
362,,120
363,,116
364,,123
365,,129
366,,119
367,,126
368,,120
369,,101
370,,106
371,,141
372,,121
373,,108
374,,119
375,,133
