Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,121.36
Elapsed Live Time:,120.0
Start Time:,October 01, 2019, 02:42:48
End Time:,October 01, 2019, 02:44:49
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,1
8,,0
9,,1
10,,0
11,,3
12,,2
13,,1
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,1
24,,0
25,,0
26,,2
27,,4
28,,13
29,,34
30,,26
31,,48
32,,35
33,,36
34,,48
35,,39
36,,31
37,,45
38,,54
39,,51
40,,46
41,,59
42,,67
43,,54
44,,68
45,,81
46,,75
47,,91
48,,65
49,,91
50,,71
51,,81
52,,70
53,,67
54,,67
55,,67
56,,54
57,,67
58,,78
59,,59
60,,64
61,,66
62,,47
63,,77
64,,61
65,,62
66,,62
67,,73
68,,57
69,,68
70,,72
71,,40
72,,63
73,,60
74,,83
75,,47
76,,52
77,,54
78,,54
79,,48
80,,51
81,,69
82,,52
83,,45
84,,57
85,,66
86,,47
87,,53
88,,58
89,,39
90,,66
91,,52
92,,49
93,,55
94,,63
95,,57
96,,51
97,,57
98,,48
99,,64
100,,51
101,,52
102,,65
103,,76
104,,66
105,,71
106,,65
107,,63
108,,63
109,,81
110,,66
111,,66
112,,69
113,,67
114,,82
115,,63
116,,64
117,,59
118,,69
119,,74
120,,71
121,,61
122,,69
123,,74
124,,67
125,,84
126,,78
127,,67
128,,85
129,,83
130,,99
131,,74
132,,96
133,,84
134,,94
135,,88
136,,84
137,,103
138,,101
139,,104
140,,103
141,,108
142,,92
143,,87
144,,101
145,,90
146,,83
147,,88
148,,110
149,,108
150,,103
151,,100
152,,107
153,,95
154,,92
155,,73
156,,107
157,,112
158,,101
159,,113
160,,100
161,,105
162,,104
163,,119
164,,107
165,,126
166,,110
167,,97
168,,107
169,,103
170,,105
171,,120
172,,119
173,,116
174,,104
175,,119
176,,109
177,,122
178,,99
179,,106
180,,94
181,,118
182,,112
183,,109
184,,101
185,,112
186,,119
187,,132
188,,110
189,,113
190,,103
191,,108
192,,126
193,,107
194,,105
195,,100
196,,102
197,,103
198,,100
199,,127
200,,115
201,,111
202,,120
203,,134
204,,126
205,,131
206,,100
207,,116
208,,119
209,,106
210,,112
211,,109
212,,110
213,,111
214,,136
215,,106
216,,105
217,,128
218,,98
219,,122
220,,100
221,,133
222,,109
223,,112
224,,118
225,,112
226,,119
227,,129
228,,141
229,,112
230,,116
231,,93
232,,104
233,,110
234,,98
235,,131
236,,114
237,,121
238,,119
239,,120
240,,105
241,,122
242,,116
243,,117
244,,127
245,,126
246,,104
247,,95
248,,112
249,,134
250,,120
251,,138
252,,123
253,,118
254,,127
255,,115
256,,108
257,,110
258,,118
259,,108
260,,116
261,,118
262,,118
263,,132
264,,109
265,,117
266,,117
267,,112
268,,107
269,,113
270,,111
271,,126
272,,120
273,,102
274,,133
275,,140
276,,102
277,,107
278,,137
279,,98
280,,98
281,,143
282,,94
283,,119
284,,111
285,,111
286,,113
287,,111
288,,107
289,,113
290,,121
291,,103
292,,119
293,,118
294,,103
295,,137
296,,98
297,,106
298,,119
299,,87
300,,101
301,,123
302,,107
303,,117
304,,118
305,,110
306,,109
307,,127
308,,117
309,,121
310,,99
311,,126
312,,105
313,,120
314,,100
315,,112
316,,112
317,,119
318,,115
319,,120
320,,123
321,,119
322,,129
323,,111
324,,125
325,,120
326,,112
327,,104
328,,114
329,,108
330,,125
331,,111
332,,121
333,,117
334,,115
335,,108
336,,126
337,,104
338,,109
339,,117
340,,117
341,,111
342,,133
343,,135
344,,109
345,,118
346,,122
347,,122
348,,124
349,,126
350,,116
351,,123
352,,111
353,,114
354,,131
355,,102
356,,120
357,,142
358,,127
359,,114
360,,132
361,,110
362,,92
363,,116
364,,137
365,,111
366,,120
367,,133
368,,117
369,,120
370,,125
371,,118
372,,130
373,,137
374,,116
375,,130
376,,109
377,,128
378,,128
379,,122
380,,131
381,,129
382,,117
383,,123
384,,114
385,,122
386,,131
387,,125
388,,135
389,,145
390,,121
391,,135
392,,127
393,,148
394,,142
395,,129
396,,144
397,,138
398,,114
399,,121
400,,168
401,,155
402,,125
403,,136
404,,119
405,,116
406,,123
407,,134
408,,132
409,,127
410,,123
411,,131
412,,108
413,,111
414,,119
415,,126
416,,132
417,,137
418,,133
419,,99
420,,128
421,,131
422,,110
423,,128
424,,108
425,,103
426,,104
427,,122
428,,112
429,,107
430,,120
431,,106
432,,94
433,,107
434,,93
435,,98
436,,100
437,,100
438,,101
439,,108
440,,101
441,,106
442,,112
443,,106
444,,95
445,,101
446,,109
447,,80
448,,110
449,,105
450,,89
451,,100
452,,84
453,,113
454,,104
455,,109
456,,90
457,,88
458,,90
459,,103
460,,97
461,,94
462,,106
463,,117
464,,89
465,,103
466,,70
467,,91
468,,108
469,,85
470,,118
471,,90
472,,122
473,,99
474,,98
475,,92
476,,112
477,,103
478,,76
479,,94
480,,87
481,,81
482,,97
483,,94
484,,94
485,,102
486,,90
487,,90
488,,83
489,,85
490,,97
491,,92
492,,77
493,,83
494,,98
495,,95
496,,91
497,,92
498,,96
499,,96
500,,87
501,,97
502,,77
503,,88
504,,82
505,,80
506,,93
507,,90
508,,87
509,,96
510,,63
511,,81
512,,97
513,,96
514,,83
515,,109
516,,85
517,,76
518,,87
519,,93
520,,97
521,,76
522,,92
523,,97
524,,86
525,,85
526,,88
527,,85
528,,73
529,,71
530,,83
531,,88
532,,74
533,,97
534,,87
535,,84
536,,78
537,,90
538,,96
539,,81
540,,66
541,,83
542,,89
543,,77
544,,81
545,,85
546,,75
547,,86
548,,71
549,,62
550,,81
551,,83
552,,69
553,,78
554,,81
555,,67
556,,88
557,,58
558,,94
559,,58
560,,78
561,,69
562,,83
563,,82
564,,81
565,,82
566,,81
567,,85
568,,69
569,,65
570,,82
571,,61
572,,76
573,,66
574,,63
575,,72
576,,58
577,,74
578,,65
579,,72
580,,74
581,,87
582,,61
583,,66
584,,73
585,,59
586,,59
587,,76
588,,74
589,,78
590,,56
591,,65
592,,71
593,,66
594,,77
595,,64
596,,55
597,,69
598,,68
599,,69
600,,61
601,,62
602,,71
603,,66
604,,80
605,,74
606,,51
607,,52
608,,68
609,,61
610,,63
611,,60
612,,66
613,,75
614,,61
615,,58
616,,70
617,,62
618,,74
619,,64
620,,71
621,,62
622,,62
623,,68
624,,72
625,,63
626,,66
627,,75
628,,78
629,,57
630,,65
631,,60
632,,61
633,,75
634,,64
635,,67
636,,78
637,,55
638,,55
639,,51
640,,63
641,,78
642,,55
643,,52
644,,60
645,,62
646,,60
647,,67
648,,69
649,,71
650,,64
651,,55
652,,73
653,,42
654,,58
655,,53
656,,78
657,,60
658,,54
659,,55
660,,62
661,,70
662,,54
663,,74
664,,60
665,,65
666,,58
667,,66
668,,56
669,,63
670,,65
671,,62
672,,51
673,,65
674,,54
675,,34
676,,59
677,,65
678,,61
679,,49
680,,63
681,,72
682,,47
683,,50
684,,61
685,,52
686,,48
687,,53
688,,62
689,,63
690,,46
691,,48
692,,64
693,,51
694,,53
695,,50
696,,47
697,,43
698,,50
699,,54
700,,50
701,,49
702,,61
703,,55
704,,55
705,,61
706,,53
707,,54
708,,49
709,,56
710,,55
711,,67
712,,51
713,,54
714,,41
715,,52
716,,55
717,,56
718,,47
719,,47
720,,49
721,,56
722,,45
723,,38
724,,38
725,,46
726,,37
727,,51
728,,54
729,,44
730,,42
731,,45
732,,46
733,,37
734,,40
735,,38
736,,38
737,,42
738,,48
739,,45
740,,53
741,,45
742,,41
743,,42
744,,33
745,,42
746,,44
747,,40
748,,49
749,,50
750,,43
751,,41
752,,51
753,,37
754,,36
755,,48
756,,29
757,,43
758,,47
759,,39
760,,35
761,,39
762,,35
763,,34
764,,35
765,,40
766,,39
767,,43
768,,35
769,,21
770,,35
771,,31
772,,26
773,,31
774,,35
775,,29
776,,34
777,,33
778,,24
779,,33
780,,27
781,,39
782,,43
783,,28
784,,42
785,,22
786,,23
787,,27
788,,35
789,,33
790,,36
791,,23
792,,18
793,,26
794,,27
795,,31
796,,27
797,,41
798,,24
799,,28
800,,36
801,,26
802,,30
803,,27
804,,36
805,,28
806,,23
807,,27
808,,31
809,,37
810,,27
811,,22
812,,31
813,,25
814,,28
815,,21
816,,24
817,,23
818,,31
819,,24
820,,24
821,,27
822,,23
823,,21
824,,25
825,,23
826,,22
827,,23
828,,29
829,,23
830,,33
831,,25
832,,24
833,,28
834,,28
835,,28
836,,25
837,,23
838,,20
839,,23
840,,30
841,,32
842,,32
843,,23
844,,29
845,,15
846,,27
847,,27
848,,23
849,,31
850,,27
851,,20
852,,20
853,,23
854,,31
855,,20
856,,32
857,,24
858,,18
859,,21
860,,18
861,,30
862,,23
863,,24
864,,18
865,,22
866,,26
867,,22
868,,24
869,,16
870,,22
871,,17
872,,20
873,,22
874,,20
875,,26
876,,19
877,,23
878,,23
879,,26
880,,28
881,,15
882,,21
883,,15
884,,26
885,,26
886,,18
887,,30
888,,18
889,,23
890,,23
891,,18
892,,23
893,,24
894,,19
895,,24
896,,29
897,,30
898,,27
899,,24
900,,28
901,,21
902,,21
903,,23
904,,23
905,,19
906,,27
907,,28
908,,24
909,,20
910,,25
911,,23
912,,27
913,,20
914,,15
915,,19
916,,21
917,,20
918,,17
919,,15
920,,18
921,,30
922,,26
923,,31
924,,28
925,,17
926,,27
927,,15
928,,23
929,,24
930,,20
931,,18
932,,22
933,,25
934,,28
935,,17
936,,18
937,,17
938,,21
939,,22
940,,22
941,,24
942,,22
943,,27
944,,9
945,,15
946,,14
947,,17
948,,33
949,,17
950,,17
951,,23
952,,20
953,,12
954,,18
955,,15
956,,17
957,,25
958,,16
959,,27
960,,22
961,,25
962,,20
963,,33
964,,26
965,,16
966,,20
967,,18
968,,26
969,,13
970,,16
971,,19
972,,21
973,,20
974,,17
975,,21
976,,26
977,,22
978,,17
979,,13
980,,20
