Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,240.61
Elapsed Live Time:,240.0
Start Time:,October 01, 2019, 05:14:05
End Time:,October 01, 2019, 05:16:06
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,1
22,,0
23,,0
24,,0
25,,0
26,,0
27,,3
28,,4
29,,9
30,,8
31,,16
32,,10
33,,16
34,,18
35,,14
36,,14
37,,20
38,,28
39,,28
40,,25
41,,16
42,,26
43,,24
44,,25
45,,34
46,,27
47,,24
48,,34
49,,29
50,,40
51,,36
52,,34
53,,26
54,,32
55,,38
56,,25
57,,28
58,,28
59,,29
60,,24
61,,29
62,,32
63,,29
64,,36
65,,32
66,,32
67,,34
68,,25
69,,27
70,,36
71,,37
72,,19
73,,41
74,,22
75,,40
76,,28
77,,33
78,,34
79,,38
80,,28
81,,23
82,,31
83,,36
84,,26
85,,36
86,,37
87,,29
88,,36
89,,34
90,,41
91,,36
92,,41
93,,37
94,,35
95,,34
96,,46
97,,32
98,,35
99,,37
100,,47
101,,30
102,,41
103,,43
104,,39
105,,43
106,,39
107,,40
108,,45
109,,50
110,,45
111,,44
112,,70
113,,50
114,,56
115,,44
116,,50
117,,47
118,,52
119,,42
120,,50
121,,63
122,,48
123,,52
124,,57
125,,64
126,,66
127,,73
128,,75
129,,78
130,,53
131,,77
132,,76
133,,88
134,,80
135,,73
136,,95
137,,73
138,,87
139,,85
140,,74
141,,78
142,,81
143,,98
144,,89
145,,93
146,,84
147,,95
148,,82
149,,97
150,,98
151,,98
152,,97
153,,97
154,,85
155,,102
156,,90
157,,95
158,,86
159,,84
160,,102
161,,111
162,,108
163,,116
164,,84
165,,100
166,,101
167,,95
168,,104
169,,123
170,,107
171,,111
172,,98
173,,103
174,,105
175,,114
176,,105
177,,91
178,,112
179,,92
180,,91
181,,100
182,,90
183,,118
184,,97
185,,116
186,,115
187,,122
188,,107
189,,105
190,,99
191,,115
192,,132
193,,112
194,,106
195,,106
196,,115
197,,96
198,,113
199,,102
200,,106
201,,104
202,,113
203,,92
204,,102
205,,101
206,,124
207,,105
208,,113
209,,108
210,,125
211,,110
212,,117
213,,115
214,,113
215,,121
216,,104
217,,104
218,,104
219,,130
220,,94
221,,101
222,,105
223,,101
224,,123
225,,93
226,,101
227,,101
228,,109
229,,106
230,,111
231,,116
232,,122
233,,102
234,,98
235,,109
236,,97
237,,86
238,,127
239,,100
240,,111
241,,104
242,,97
243,,94
244,,119
245,,92
246,,114
247,,95
248,,121
249,,84
250,,99
251,,109
252,,87
253,,101
254,,109
255,,96
256,,126
257,,102
258,,96
259,,111
260,,103
261,,94
262,,88
263,,90
264,,101
265,,108
266,,96
267,,109
268,,108
269,,110
270,,88
271,,116
272,,120
273,,97
274,,90
275,,96
276,,91
277,,106
278,,71
279,,93
280,,103
281,,83
282,,116
283,,94
284,,110
285,,77
286,,105
287,,86
288,,83
289,,97
290,,100
291,,92
292,,88
293,,95
294,,95
295,,99
296,,89
297,,94
298,,104
299,,73
300,,90
301,,92
302,,96
303,,85
304,,76
305,,98
306,,86
307,,93
308,,99
309,,85
310,,99
311,,88
312,,90
313,,98
314,,92
315,,91
316,,95
317,,73
318,,76
319,,85
320,,87
321,,82
322,,81
323,,87
324,,91
325,,71
326,,78
327,,91
328,,81
329,,70
330,,93
331,,113
332,,87
333,,70
334,,86
335,,72
336,,87
337,,79
338,,82
339,,65
340,,80
341,,84
342,,67
343,,79
344,,84
345,,89
346,,75
347,,76
348,,73
349,,89
350,,90
351,,80
352,,79
353,,75
354,,82
355,,84
356,,65
357,,76
358,,71
359,,85
360,,76
361,,64
362,,58
363,,70
364,,63
365,,72
366,,64
367,,78
368,,60
369,,68
370,,68
371,,62
372,,73
373,,62
374,,70
375,,53
376,,63
377,,65
378,,56
379,,63
380,,54
381,,58
382,,69
383,,70
384,,46
385,,60
386,,71
387,,81
388,,70
389,,73
390,,68
391,,69
392,,64
393,,65
394,,64
395,,66
396,,69
397,,60
398,,85
399,,54
400,,54
401,,73
402,,58
403,,63
404,,63
405,,67
406,,56
407,,58
408,,58
409,,67
410,,64
411,,55
412,,61
413,,57
414,,57
415,,47
416,,55
417,,49
418,,56
419,,65
420,,72
421,,42
422,,56
423,,62
424,,58
425,,61
426,,56
427,,66
428,,48
429,,49
430,,60
431,,58
432,,50
433,,61
434,,54
435,,45
436,,55
437,,58
438,,60
439,,49
440,,53
441,,52
442,,60
443,,52
444,,48
445,,50
446,,54
447,,58
448,,35
449,,50
450,,49
451,,52
452,,56
453,,59
454,,42
455,,54
456,,37
457,,50
458,,58
459,,45
460,,56
461,,39
462,,57
463,,60
464,,55
465,,44
466,,42
467,,60
468,,54
469,,59
470,,45
471,,42
472,,49
473,,45
474,,59
475,,52
476,,57
477,,57
478,,36
479,,49
480,,43
481,,46
482,,46
483,,44
484,,48
485,,46
486,,50
487,,47
488,,40
489,,51
490,,33
491,,49
492,,53
493,,42
494,,48
495,,53
496,,39
497,,49
498,,43
499,,42
500,,48
501,,43
502,,41
503,,46
504,,33
505,,36
506,,43
507,,43
508,,40
509,,56
510,,38
511,,37
512,,49
513,,42
514,,50
515,,37
516,,37
517,,54
518,,28
519,,54
520,,48
521,,44
522,,37
523,,41
524,,44
525,,33
526,,30
527,,46
528,,40
529,,54
530,,41
531,,45
532,,51
533,,42
534,,43
535,,43
536,,49
537,,45
538,,40
539,,36
540,,39
541,,43
542,,33
543,,32
544,,39
545,,40
546,,27
547,,51
548,,47
549,,33
550,,24
551,,42
552,,44
553,,41
554,,46
555,,39
556,,29
557,,37
558,,40
559,,33
560,,41
561,,44
562,,31
563,,33
564,,56
565,,37
566,,29
567,,49
568,,25
569,,32
570,,33
571,,28
572,,51
573,,36
574,,27
575,,37
576,,37
577,,46
578,,30
579,,45
580,,32
581,,34
582,,27
583,,24
584,,35
585,,41
586,,35
587,,24
588,,36
589,,18
590,,31
591,,43
592,,33
593,,31
594,,34
595,,34
596,,32
597,,26
598,,31
599,,32
600,,15
601,,24
602,,37
603,,30
604,,36
605,,26
606,,38
607,,33
608,,21
609,,29
610,,22
611,,37
612,,25
613,,18
614,,28
615,,34
616,,24
617,,29
618,,22
619,,22
620,,26
621,,27
622,,21
623,,29
624,,27
625,,29
626,,16
627,,24
628,,20
629,,37
630,,27
631,,16
632,,37
633,,33
634,,29
635,,22
636,,14
637,,30
638,,27
639,,25
640,,28
641,,26
642,,25
643,,22
644,,23
645,,23
646,,21
647,,25
648,,28
649,,24
650,,30
651,,31
652,,37
653,,20
654,,20
655,,17
656,,25
657,,16
658,,23
659,,18
660,,29
661,,15
662,,23
663,,35
664,,20
665,,23
666,,30
667,,23
668,,20
669,,25
670,,17
671,,23
672,,20
673,,26
674,,13
675,,20
676,,19
677,,28
678,,24
679,,21
680,,31
681,,26
682,,25
683,,20
684,,24
685,,22
686,,24
687,,20
688,,22
689,,20
690,,10
691,,13
692,,25
693,,22
694,,15
695,,21
696,,14
697,,19
698,,15
699,,17
700,,23
701,,19
702,,22
703,,31
704,,22
705,,25
706,,30
707,,25
708,,22
709,,22
710,,13
711,,14
712,,23
713,,18
714,,19
715,,16
716,,18
717,,16
718,,19
719,,19
720,,13
721,,16
722,,18
723,,22
724,,14
725,,20
726,,25
727,,21
728,,17
729,,16
730,,19
731,,15
732,,22
733,,18
734,,13
735,,11
736,,18
737,,24
738,,17
739,,16
740,,15
741,,23
742,,23
743,,24
744,,15
745,,18
746,,19
747,,14
748,,15
749,,19
750,,18
751,,18
752,,17
753,,18
754,,24
755,,21
756,,26
757,,12
758,,9
759,,16
760,,22
761,,14
762,,12
763,,18
764,,16
765,,25
766,,18
767,,15
768,,29
769,,12
770,,24
771,,22
772,,27
773,,14
774,,15
775,,23
776,,14
777,,16
778,,18
779,,29
780,,16
781,,21
782,,12
783,,23
784,,20
785,,20
786,,16
787,,20
788,,17
789,,20
790,,17
791,,16
792,,21
793,,11
794,,13
795,,12
796,,14
797,,17
798,,14
799,,15
800,,23
801,,16
802,,14
803,,13
804,,14
805,,15
806,,9
807,,16
808,,18
809,,15
810,,20
811,,11
812,,21
813,,20
814,,9
815,,11
816,,19
817,,13
818,,16
819,,13
820,,13
821,,13
822,,24
823,,17
824,,18
825,,20
826,,9
827,,10
828,,8
829,,16
830,,16
831,,10
832,,17
833,,16
834,,16
835,,14
836,,12
837,,10
838,,8
839,,11
840,,16
841,,12
842,,10
843,,10
844,,10
845,,15
846,,22
847,,13
848,,9
849,,22
850,,18
851,,11
852,,10
853,,9
854,,19
855,,13
856,,16
857,,12
858,,9
859,,6
860,,14
861,,9
862,,16
863,,9
864,,13
865,,14
866,,14
867,,12
868,,19
869,,12
870,,12
871,,12
872,,12
873,,16
874,,8
875,,17
876,,8
877,,12
878,,7
879,,17
880,,9
881,,9
882,,8
883,,17
884,,17
885,,7
886,,7
887,,13
888,,13
889,,7
890,,12
891,,9
892,,11
893,,8
894,,13
895,,6
896,,7
897,,17
898,,8
899,,14
900,,12
901,,14
902,,18
903,,13
904,,9
905,,7
906,,7
907,,10
908,,14
909,,6
910,,20
911,,15
912,,12
913,,5
914,,16
915,,9
916,,17
917,,8
918,,13
919,,8
920,,7
921,,13
922,,12
923,,10
924,,12
925,,10
926,,5
927,,14
928,,4
929,,9
930,,10
931,,7
932,,8
933,,8
934,,9
935,,15
936,,9
937,,8
938,,12
939,,12
940,,14
941,,10
942,,7
943,,10
944,,6
945,,10
946,,14
947,,13
948,,6
949,,7
950,,13
951,,8
952,,8
953,,12
954,,9
955,,9
956,,4
957,,9
958,,9
959,,7
960,,12
961,,13
962,,8
963,,5
964,,9
965,,4
966,,8
967,,9
968,,9
969,,11
970,,16
971,,13
972,,10
973,,13
974,,11
975,,9
976,,11
977,,8
978,,9
979,,8
980,,8
